campaign_id,campaign_name,channel,start_date,end_date,budget_eur,impressions,clicks,leads_generated,target_segment,target_industry
CMP0031,Brand Awareness — Content/SEO — May 2024,Content/SEO,2024-05-01,2024-05-31,4723.99,1102251,35785,1429,Premium,Services B2B
CMP0032,Back-to-Business — LinkedIn Ads — Apr 2024,LinkedIn Ads,2024-04-20,2024-06-19,8537.58,498133,8823,649,All,Services B2B
CMP0033,Year-End Drive — LinkedIn Ads — Sep 2025,LinkedIn Ads,2025-09-29,2025-10-29,24596.35,1262112,12511,810,Standard,Tech & SaaS
CMP0034,Back-to-Business — Email Campaign — Jan 2024,Email Campaign,2024-01-20,2024-02-19,7585.42,4463501,235955,37818,Starter,Services B2B
CMP0035,Q4 Sprint — Google Ads — Nov 2024,Google Ads,2024-11-02,2025-01-31,30141.22,3303611,54959,3706,All,All
CMP0036,Q4 Sprint — LinkedIn Ads — Jul 2025,LinkedIn Ads,2025-07-23,2025-08-06,12068.9,665852,9083,766,Standard,Industrie & Manufacturing
CMP0037,Q1 Acquisition — Email Campaign — May 2025,Email Campaign,2025-05-26,2025-06-16,24937.35,10672854,374235,63845,Starter,Retail & E-commerce
CMP0038,Upsell Drive — Google Ads — Oct 2025,Google Ads,2025-10-09,2025-12-08,10952.29,865820,37537,875,Starter,Finance & Assurance
CMP0039,Year-End Drive — Meta Ads — Mar 2024,Meta Ads,2024-03-29,2024-04-28,30624.54,2735484,40002,1561,All,Tech & SaaS
CMP0040,Industry Focus — Meta Ads — May 2025,Meta Ads,2025-05-05,2025-05-19,8151.77,814752,15610,1035,Premium,Retail & E-commerce
CMP0041,Industry Focus — Google Ads — Feb 2025,Google Ads,2025-02-06,2025-05-07,7181.17,626202,16004,820,Standard,All
CMP0042,Summer Boost — Google Ads — Feb 2024,Google Ads,2024-02-20,2024-03-21,30996.35,1833667,72330,1553,Starter,Retail & E-commerce
CMP0043,Back-to-Business — Meta Ads — Nov 2024,Meta Ads,2024-11-18,2024-12-09,4897.24,540674,15794,799,Starter,Retail & E-commerce
CMP0044,Back-to-Business — Email Campaign — Dec 2024,Email Campaign,2024-12-16,2025-01-15,32021.27,19306559,804877,81031,Premium,Services B2B
CMP0045,Retention Push — Events/Webinar — Sep 2024,Events/Webinar,2024-09-10,2024-12-09,31655.22,280718,26108,8733,All,Finance & Assurance
CMP0046,Year-End Drive — Events/Webinar — Sep 2024,Events/Webinar,2024-09-17,2024-11-16,19587.73,200786,13736,4432,Premium,Tech & SaaS
CMP0047,Back-to-Business — Events/Webinar — Dec 2024,Events/Webinar,2024-12-05,2025-01-19,12010.49,120528,15930,4592,All,Tech & SaaS
CMP0048,Spring Push — LinkedIn Ads — May 2024,LinkedIn Ads,2024-05-31,2024-07-30,22359.23,1125113,20713,1569,Standard,Tech & SaaS
CMP0049,Summer Boost — Content/SEO — Jan 2025,Content/SEO,2025-01-26,2025-03-27,29922.56,7721843,482448,14086,Standard,Services B2B
CMP0050,Summer Boost — Google Ads — Jan 2024,Google Ads,2024-01-27,2024-02-10,32539.36,1859181,40300,2158,Standard,Retail & E-commerce
